n;u;x;y_next;x_next
0;0.389518438594;9.029195320500;18.107787586345;11.788498108841
1;0.432296536758;11.788498108841;-9.211531389128;-4.834783317770
2;0.174582027249;-4.834783317770;15.497142122789;12.262300339708
3;0.439642000412;12.262300339708;7.749555367563;12.472194671418
4;0.442896039934;12.472194671418;1.145440552271;9.155640928311
5;0.391478753586;9.155640928311;-12.189167730017;-6.154263915737
6;0.154125819693;-6.154263915737;10.335210856053;11.595847827623
7;0.429309835670;11.595847827623;3.292354747717;6.657924861351
8;0.352756093807;6.657924861351;3.968971356433;3.941493904305
9;0.310642647385;3.941493904305;7.259214866719;4.843932669579
10;0.324633360638;4.843932669579;11.865414034861;7.209872404568
11;0.361313061996;7.209872404568;10.601727052426;5.864767923634
12;0.340459601561;5.864767923634;-16.263940751001;-10.215644196885
13;0.091161318267;-10.215644196885;-6.264185585024;-3.277596521165
14;0.198723448019;-3.277596521165;15.008777618539;10.831085879131
15;0.417453557394;10.831085879131;10.773006873638;13.203298051155
16;0.454230501770;13.203298051155;2.168837685949;9.582516098866
17;0.398096696360;9.582516098866;4.676881963478;13.411650685797
18;0.457460640012;13.411650685797;-0.221697904857;-5.879761626846
19;0.158381491057;-5.879761626846;2.164617869130;-4.038668594297
20;0.186924374719;-4.038668594297;-1.937094954289;2.673743902802
21;0.290988431022;2.673743902802;2.498416882990;-2.182048634113
22;0.215707975869;-2.182048634113;-1.016123498868;1.268175500713
23;0.269197584677;1.268175500713;4.116256400773;-5.466766499142
24;0.164784248373;-5.466766499142;2.378552773832;3.324871027868
25;0.301083002807;3.324871027868;3.085359070538;2.362114083122
26;0.286157163111;2.362114083122;0.709465375186;0.515429880656
27;0.257527598271;0.515429880656;-5.013987583190;-3.052221487165
28;0.202217488386;-3.052221487165;-8.165098770534;-5.296643994678
29;0.167421696219;-5.296643994678;-12.803122334736;-7.742860416819
30;0.129497447137;-7.742860416819;-8.368278494840;-4.517673244964
31;0.179498256769;-4.517673244964;15.972551127520;10.653536365969
32;0.414700966944;10.653536365969;18.847525554201;13.425292319353
33;0.457672129357;13.425292319353;-15.098806113262;-8.248198720786
34;0.121663072575;-8.248198720786;13.953598020443;13.507202491779
35;0.458942001373;13.507202491779;5.166033425142;11.797384018578
36;0.432434297036;11.797384018578;9.928609364606;15.291071572732
37;0.486597729110;15.291071572732;-0.958791929155;-7.741011484847
38;0.129526111549;-7.741011484847;1.521271814204;-7.128689339217
39;0.139019080920;-7.128689339217;-1.371116346751;4.040870885692
40;0.312183311310;4.040870885692;-0.595459466840;-11.600524519399
41;0.069691203921;-11.600524519399;1.358730769955;4.264568344046
42;0.315651343841;4.264568344046;1.117312720749;1.794790851019
43;0.277361822123;1.794790851019;-1.284436269133;-0.349312154485
44;0.244121305993;-0.349312154485;2.903930923956;1.343526236763
