n;u;x;x_next
0;0.144259639075;0.666437425762;0.700519472393
1;0.163539583336;0.700519472393;0.742456128288
2;0.187262817944;0.742456128288;0.788466339209
3;0.213290430417;0.788466339209;0.835525441597
4;0.239911392498;0.835525441597;0.881770524382
5;0.266071870127;0.881770524382;0.926516816785
6;0.291384493889;0.926516816785;0.969997138860
7;0.315980968248;0.969997138860;1.012726093992
8;0.340152400268;1.012726093992;1.054469004085
9;0.363766034409;1.054469004085;1.093513435806
10;0.385853160673;1.093513435806;1.127283545555
11;0.404956644706;1.127283545555;1.153855271953
12;0.419988060203;1.153855271953;1.172850863878
13;0.430733716339;1.172850863878;1.185357237743
14;0.437808473135;1.185357237743;1.193463681984
15;0.442394224537;1.193463681984;1.199792220708
16;0.445974228847;1.199792220708;1.207023888609
17;0.450065126192;1.207023888609;1.217344644063
18;0.455903495936;1.217344644063;1.231837341696
19;0.464101900380;1.231837341696;1.249952863658
20;0.474349707898;1.249952863658;1.269251611786
21;0.485266857101;1.269251611786;1.285665288673
22;0.494551944317;1.285665288673;1.294429582516
23;0.499509836037;1.294429582516;1.291373667066
24;0.497781128833;1.291373667066;1.273896921101
25;0.487894671845;1.273896921101;1.241384993419
26;0.469502931458;1.241384993419;1.195367849698
27;0.443471397155;1.195367849698;1.139319057747
28;0.411765038777;1.139319057747;1.077650715809
29;0.376879745411;1.077650715809;1.014408142665
30;0.341103921901;1.014408142665;0.952555587787
31;0.306114420732;0.952555587787;0.893905650849
32;0.272936615206;0.893905650849;0.839296638722
33;0.242044728889;0.839296638722;0.788782606139
34;0.213469340118;0.788782606139;0.741819940691
35;0.186902931652;0.741819940691;0.697521728304
36;0.161843783211;0.697521728304;0.655007104671
37;0.137793596824;0.655007104671;0.613754454118
38;0.114457298629;0.613754454118;0.573798831784
39;0.091854719041;0.573798831784;0.535695767229
40;0.070300116738;0.535695767229;0.500349385698
41;0.050304948222;0.500349385698;0.468898160593
42;0.032513238894;0.468898160593;0.442798291141
43;0.017748749141;0.442798291141;0.424138055430
44;0.007192801363;0.424138055430;0.416089518622
45;0.002639807738;0.416089518622;0.423116032252
46;0.006614650933;0.423116032252;0.450052847026
47;0.021852594037;0.450052847026;0.499245002396
48;0.049680207322;0.499245002396;0.567281128244
49;0.088167705689;0.567281128244;0.645403366267
50;0.132360837954;0.645403366267;0.723911680911
51;0.176772370711;0.723911680911;0.795823154549
52;0.217452122678;0.795823154549;0.857477409762
53;0.252329447295;0.857477409762;0.907531613930
54;0.280644714767;0.907531613930;0.945902855489
55;0.302351022680;0.945902855489;0.973139423265
56;0.317758533686;0.973139423265;0.990142955159
57;0.327377297217;0.990142955159;0.998059706435
58;0.331855740808;0.998059706435;0.998225300101
59;0.331949415836;0.998225300101;0.992134243955
60;0.328503753542;0.992134243955;0.981454822939
61;0.322462489525;0.981454822939;0.968120973532
62;0.314919636358;0.968120973532;0.954513837438
63;0.307222187074;0.954513837438;0.943670100330
64;0.301087970743;0.943670100330;0.939282984982
65;0.298606214284;0.939282984982;0.945107732886
66;0.301901228112;0.945107732886;0.963662959976
67;0.312397773343;0.963662959976;0.994778658809
68;0.329999678113;0.994778658809;1.034578385510
69;0.352514068774;1.034578385510;1.075566429674
70;0.375700681227;1.075566429674;1.109170498232
71;0.394710237072;1.109170498232;1.129876945081
72;0.406423710310;1.129876945081;1.137125269672
73;0.410524030212;1.137125269672;1.133893718211
74;0.408695967105;1.133893718211;1.124418787438
75;0.403336073694;1.124418787438;1.112752053862
76;0.396736294769;1.112752053862;1.102185917269
77;0.390759114855;1.102185917269;1.095096085248
78;0.386748452947;1.095096085248;1.092891299572
79;0.385501223125;1.092891299572;1.095961215916
80;0.387237850524;1.095961215916;1.103641542371
81;0.391582550464;1.103641542371;1.114259342125
82;0.397588955821;1.114259342125;1.125253778940
83;0.403808421784;1.125253778940;1.133231111090
84;0.408321135497;1.133231111090;1.133907789100
85;0.408703926896;1.133907789100;1.122598124673
86;0.402306139165;1.122598124673;1.096378834120
87;0.387474093840;1.096378834120;1.056766695204
88;0.365065820105;1.056766695204;1.009188041667
89;0.338150952047;1.009188041667;0.959734039752
90;0.310175214242;0.959734039752;0.913042410158
91;0.283762128615;0.913042410158;0.871984194715
92;0.260535820824;0.871984194715;0.837942454886
93;0.241278677802;0.837942454886;0.811057591804
94;0.226070123360;0.811057591804;0.790416007992
95;0.214393342629;0.790416007992;0.774303674610
96;0.205278723051;0.774303674610;0.760581761349
97;0.197516345231;0.760581761349;0.747148720198
98;0.189917380079;0.747148720198;0.732399723347
99;0.181573989194;0.732399723347;0.715573984941
100;0.172055802035;0.715573984941;0.696911784413
101;0.161498742775;0.696911784413;0.677666138870
102;0.150611633284;0.677666138870;0.660141320505
103;0.140697982120;0.660141320505;0.647857331538
104;0.133749026703;0.647857331538;0.645550249191
105;0.132443928463;0.645550249191;0.658217002845
106;0.139609410837;0.658217002845;0.688702259638
107;0.156854679530;0.688702259638;0.735254528178
108;0.183188929711;0.735254528178;0.791918843585
109;0.215243484840;0.791918843585;0.851783023524
110;0.249108178030;0.851783023524;0.909761501795
111;0.281906144699;0.909761501795;0.963207858426
112;0.312140325995;0.963207858426;1.011231231090
113;0.339306768146;1.011231231090;1.053834853712
114;0.363407300557;1.053834853712;1.091312772599
115;0.384608262899;1.091312772599;1.123927352824
116;0.403058073019;1.123927352824;1.151785985443
117;0.418817481188;1.151785985443;1.174855808429
118;0.431867897616;1.174855808429;1.193084793765
119;0.442179890467;1.193084793765;1.206596711833
120;0.449823475667;1.206596711833;1.215922328231
121;0.455098903118;1.215922328231;1.222235531849
122;0.458670232480;1.222235531849;1.227519388588
123;0.461659268452;1.227519388588;1.234431554366
124;0.465569425972;1.234431554366;1.245499805153
125;0.471830647916;1.245499805153;1.261510774148
126;0.480887926463;1.261510774148;1.279737671991
127;0.491198738436;1.279737671991;1.293604412777
128;0.499043044041;1.293604412777;1.295296067959
129;0.500000000000;1.295296067959;1.279932196815
130;0.491308779590;1.279932196815;1.247420929658
131;0.472917412856;1.247420929658;1.201049133890
132;0.446685254695;1.201049133890;1.145214120456
133;0.415099829134;1.145214120456;1.084003730384
134;0.380473595518;1.084003730384;1.020693390503
135;0.344659436900;1.020693390503;0.957720153391
136;0.309035974653;0.957720153391;0.896813070716
137;0.274581319633;0.896813070716;0.839134192937
138;0.241952834593;0.839134192937;0.785377112384
139;0.211542879232;0.785377112384;0.735803732638
140;0.183499610331;0.735803732638;0.690224808391
141;0.157715973320;0.690224808391;0.647990672534
142;0.133824456650;0.647990672534;0.608143232616
143;0.111283074998;0.608143232616;0.569841272752
144;0.089615959192;0.569841272752;0.532881608023
145;0.068708169129;0.532881608023;0.497913278857
146;0.048926861847;0.497913278857;0.466244233721
147;0.031011933450;0.466244233721;0.439619275976
148;0.015950405402;0.439619275976;0.420303008956
149;0.005023345900;0.420303008956;0.411423008740
150;0.000000000000;0.411423008740;0.417212686853
151;0.003275175125;0.417212686853;0.442398864331
152;0.017522796553;0.442398864331;0.489811689589
153;0.044343856865;0.489811689589;0.556973307821
154;0.082336653189;0.556973307821;0.635476542163
155;0.126745312059;0.635476542163;0.714990743540
156;0.171725866986;0.714990743540;0.787692045306
157;0.212852418479;0.787692045306;0.849542270276
158;0.247840601638;0.849542270276;0.899326291601
159;0.276003028813;0.899326291601;0.937322035530
160;0.297496920686;0.937322035530;0.964382683026
161;0.312804914981;0.964382683026;0.981502693857
162;0.322489569725;0.981502693857;0.989732334568
163;0.327145012395;0.989732334568;0.990248578700
164;0.327437047618;0.990248578700;0.984427322903
165;0.324144009248;0.984427322903;0.973884745341
166;0.318180156491;0.973884745341;0.960542413447
167;0.310632504849;0.960542413447;0.946761341278
168;0.302836661302;0.946761341278;0.935514412586
169;0.296474362681;0.935514412586;0.930417342695
170;0.293590990551;0.930417342695;0.935260141698
171;0.296330523651;0.935260141698;0.952809663052
172;0.306258149101;0.952809663052;0.983273533753
173;0.323491319850;0.983273533753;1.023120074796
174;0.346032193014;1.023120074796;1.065080255734
175;0.369768735554;1.065080255734;1.100657920422
176;0.389894739122;1.100657920422;1.124213935230
177;0.403220190420;1.124213935230;1.134843819575
178;0.409233431934;1.134843819575;1.135096190535
179;0.409376196190;1.135096190535;1.128872900059
180;0.405855729981;1.128872900059;1.120061700582
181;0.400871304115;1.120061700582;1.111928370030
182;0.396270343339;1.111928370030;1.106887839673
183;0.393418955176;1.106887839673;1.106398481451
184;0.393142129100;1.106398481451;1.110890267018
185;0.395683096675;1.110890267018;1.119748026142
186;0.400693860965;1.119748026142;1.131399314828
187;0.407284902837;1.131399314828;1.143470426796
188;0.414113435420;1.143470426796;1.152829805061
189;0.419407961691;1.152829805061;1.155419040328
190;0.420872671606;1.155419040328;1.146477778694
191;0.415814670606;1.146477778694;1.122499995539
192;0.402250628290;1.122499995539;1.084251095667
193;0.380613528102;1.084251095667;1.036816129434
194;0.353779942816;1.036816129434;0.986355492762
195;0.325234759689;0.986355492762;0.937680963700
196;0.297699963513;0.937680963700;0.893798393926
197;0.272875940813;0.893798393926;0.856191498195
198;0.251602017290;0.856191498195;0.825108949142
199;0.234018865089;0.825108949142;0.799779296150
