window;u;y_next
0;0.356336291033;0.100000000000
1;0.332609375200;0.130500000000
2;0.357826501766;0.140654012500
3;0.301424492354;0.144806418806
4;0.234672604379;0.147177644757
5;0.087347590293;0.149033248436
6;0.160993618310;0.150762001070
7;0.316496499780;0.152487288074
8;0.437371977275;0.154250559644
9;0.023151820107;0.168442292907
10;0.455067869952;0.389684404204
11;0.493506582668;0.515454716559
12;0.472450190135;0.522699917347
13;0.461664517898;0.484521545624
14;0.236570175735;0.345021361845
15;0.170245741315;0.296930528276
16;0.449125735146;0.449514977338
17;0.249858102592;0.476969192695
18;0.352038463705;0.346023620309
19;0.112996107294;0.350061193586
20;0.116620995367;0.364456406841
21;0.159931699789;0.398331400145
22;0.109200174494;0.375474190971
23;0.368438813076;0.416363833490
24;0.048760353133;0.316868741894
25;0.293190416161;0.452642040683
26;0.086368663146;0.357484721442
27;0.374534049467;0.473920380547
28;0.225635156958;0.371688171310
29;0.192279975931;0.317199436242
30;0.431484530009;0.359644453053
31;0.462560722614;0.352705757795
32;0.258638003709;0.415658282358
33;0.234617273737;0.321542863140
34;0.259424985595;0.370672381389
35;0.318959688286;0.322824851715
36;0.368249356134;0.462861219945
37;0.353792047984;0.445819918269
38;0.130057816804;0.354639332041
39;0.414935631453;0.540975450706
40;0.410569562058;0.653933488955
41;0.155516126575;0.495200928660
42;0.339240121623;0.476498897920
43;0.027325900805;0.359484350927
44;0.284731127318;0.424648747029
45;0.136418512030;0.399077840889
46;0.374986981933;0.510774571770
47;0.287647090064;0.428385881314
48;0.004141301126;0.330556375880
49;0.144509317857;0.364514466530
50;0.077823992837;0.308486934531
51;0.142599856879;0.328312719928
52;0.278010638921;0.274414762642
53;0.447598204291;0.424652062232
54;0.079591901359;0.324235098768
55;0.291115338332;0.420893892194
56;0.071086279500;0.335125622513
57;0.476053388884;0.262805068367
58;0.102522753695;0.245399935972
59;0.146847937385;0.231116483220
60;0.372073395214;0.285385103934
61;0.488249880497;0.433919692547
62;0.326545501524;0.519668141925
63;0.151104727309;0.364445943627
64;0.143522557562;0.334381041774
65;0.166406416469;0.275456994051
66;0.226563045182;0.389702309841
67;0.361084024203;0.337564411411
68;0.261166234936;0.316470463598
69;0.413335406250;0.480821999739
70;0.300558463116;0.554229261121
71;0.409650295239;0.577953387762
72;0.092209882209;0.414231421626
73;0.110342880723;0.331808097919
74;0.067118841427;0.282866918549
75;0.397090400373;0.375832373073
76;0.079447981817;0.332102602849
77;0.338067743114;0.398553564333
78;0.104315980818;0.365245724922
79;0.117308328188;0.337585302654
80;0.294334142425;0.449154273681
81;0.476857605308;0.387509314323
82;0.392192842894;0.352369023760
83;0.374820213564;0.307102898139
84;0.127242132097;0.323020017436
85;0.345485683309;0.296681720085
86;0.257373809283;0.372170174319
87;0.411638815361;0.342855045018
88;0.070318915285;0.275807237197
89;0.267489318873;0.348336552955
90;0.002198535160;0.266248796702
91;0.086403377362;0.274264463083
92;0.433456420606;0.469299777400
93;0.070982906425;0.331204255795
94;0.050911605438;0.280391971053
95;0.395479158644;0.382462035136
96;0.194623725019;0.398839929952
97;0.338789223066;0.322585661300
98;0.091265975699;0.287418785751
99;0.243470752760;0.235330031768
100;0.244325507803;0.240482968087
101;0.209438828950;0.347063969594
102;0.130146862899;0.275156661353
103;0.415673924301;0.256953102196
104;0.259617882438;0.369981929731
105;0.224119121591;0.334071199646
106;0.310857485030;0.409438697061
107;0.295411544979;0.326295647001
108;0.217388014941;0.327565437387
109;0.159914539953;0.308014960540
110;0.110094906265;0.276197478907
111;0.203322188279;0.267167960608
112;0.166640808492;0.326142962324
113;0.149288061584;0.308192370197
114;0.040839424226;0.256315601666
115;0.025442505475;0.228992060063
116;0.082536571111;0.240012797749
117;0.170802584962;0.262080092191
118;0.480152429124;0.330499206064
119;0.264063421685;0.289087452990
120;0.084956504097;0.252887467194
121;0.126249427567;0.242339594234
122;0.414407727704;0.298659783872
123;0.170864452709;0.240519403633
124;0.198573266955;0.211499442221
125;0.200317336549;0.215708824340
126;0.325654889639;0.276008659014
127;0.343884174800;0.466625165504
128;0.427345023639;0.475140457114
129;0.277288609235;0.348400501555
130;0.016583717367;0.260404843216
131;0.483259783772;0.518041764228
132;0.025797763427;0.347786453526
133;0.397417819641;0.381141248941
134;0.030544885575;0.290234531483
135;0.017328211779;0.247479500479
136;0.175931883241;0.309679815592
137;0.078180510633;0.299457151733
138;0.181032810717;0.317206749033
139;0.460454970977;0.259269772040
140;0.272930883339;0.417506877466
141;0.214460911611;0.304272551680
142;0.156211756895;0.332692350379
143;0.183776758850;0.260775633014
144;0.288898640830;0.225361150230
145;0.279656730853;0.274916988155
146;0.365167509164;0.266551775232
147;0.205818699224;0.275278593144
148;0.122339007132;0.307462047246
149;0.053036379146;0.258903813010
150;0.146863879424;0.262764121944
151;0.140391825476;0.248104934247
152;0.401754296880;0.318834228859
153;0.087626874310;0.276649130459
154;0.326186214507;0.357377718172
155;0.434487500887;0.496074312174
156;0.286758681600;0.413450558126
157;0.498639802831;0.381999913779
158;0.238111302439;0.296985758647
159;0.202217637763;0.282811565658
160;0.036179271064;0.239621947867
161;0.076324471365;0.257562427935
162;0.359521720077;0.267297349908
163;0.176983271085;0.310484313619
164;0.120576316458;0.323015469132
165;0.002776662966;0.250900771133
166;0.282213417409;0.424292323961
167;0.411598345699;0.438682787245
168;0.027431376443;0.307738283772
169;0.175757649091;0.249596134557
170;0.239799663215;0.240635634749
171;0.206221767233;0.320342539551
172;0.308993685978;0.328314260095
173;0.302780650764;0.305688370043
174;0.405474235792;0.242140476925
175;0.429133201390;0.391935508595
176;0.417801241055;0.539207204104
177;0.485542193360;0.372443030233
178;0.498676467026;0.404618841758
179;0.217759138432;0.368395975002
180;0.069553223937;0.296755924812
181;0.111760794145;0.293795437193
182;0.455328546002;0.446985836966
183;0.420818476405;0.571884686689
184;0.486359048077;0.696957440100
185;0.299824101203;0.649725076449
186;0.042601393487;0.476705898377
187;0.180894206083;0.487447666421
188;0.420962804729;0.498123289747
189;0.440928770625;0.414659274308
190;0.315885990426;0.377556539982
191;0.363381745167;0.554216727560
192;0.162926870879;0.512492114378
193;0.373744574436;0.660675724838
194;0.380615109652;0.645401596015
195;0.306791546364;0.483514437104
196;0.094148292026;0.394157768466
197;0.056130262397;0.352786553734
198;0.443081309642;0.585206444040
199;0.339099356433;0.581972963782
